Hyperparameter search,LSTM,duration,62872.996107816696
unitsLSTM,16
batch,5
dropout,0.1656360480453499
